geneID	geneSymb	ORF	SGD_id
gene1783	HUL5	YGL141W	S000003109
gene1784	MLH1	YMR167W	S000004777
gene1785	YMR166C	YMR166C	S000004776
gene1786	QRI7	YDL104C	S000002262
gene1787	NSE4	YDL105W	S000002263
gene1788	ARG5%2C6	NA	NA
gene1789	FIS1	YIL065C	S000001327
gene179	EFR3	YMR212C	S000004825
gene1790	TAD1	YGL243W	S000003212
gene1791	YGL242C	NA	NA
gene1793	GPH1	YPR160W	S000006364
gene1794	KEX1	YGL203C	S000003171
gene1796	CCA1	YER168C	S000000970
gene1797	CRG1	YHR209W	S000001252
gene180	IML1	YJR138W	S000003899
gene1801	CFT2	YLR115W	S000004105
gene1802	MTQ2	YDR140W	S000002547
gene1803	DOP1	YDR141C	S000002548
gene1804	VPS28	YPL065W	S000005986
gene1805	YLR118C	NA	NA
gene1807	RPM2	YML091C	S000004556
gene1808	TUB1	YML085C	S000004550
gene181	CEF1	YMR213W	S000004826
gene1810	PRE8	YML092C	S000004557
gene1811	PET18	YCR020C	S000000613
gene1812	YOL075C	NA	NA
gene1813	ERG13	YML126C	S000004595
gene1814	MSC1	YML128C	S000004597
gene1815	RSC9	YML127W	S000004596
gene1819	ALO1	YML086C	S000004551
gene182	CFT1	YDR301W	S000002709
gene1821	PGA3	YML125C	S000004594
gene1822	UFO1	YML088W	S000004553
gene1824	SPE2	YOL052C	S000005412
gene1825	PTP2	YOR208W	S000005734
gene1826	RNY1	YPL123C	S000006044
gene1828	SPP1	YPL138C	S000006059
gene1829	MGM1	YOR211C	S000005737
gene183	RIM20	YOR275C	S000005801
gene1830	YOR228C	YOR228C	S000005754
gene1833	VPS30	YPL120W	S000006041
gene1834	PMT1	YDL095W	S000002253
gene1835	GEP3	YOR205C	S000005731
gene1836	ITC1	YGL133W	S000003101
gene1837	CBP3	YPL215W	S000006136
gene1838	LEA1	YPL213W	S000006134
gene1839	SNT2	YGL131C	S000003099
gene184	MOD5	YOR274W	S000005800
gene1840	CEG1	YGL130W	S000003098
gene1844	KAP120	YPL125W	S000006046
gene1845	NPT1	YOR209C	S000005735
gene1846	NAN1	YPL126W	S000006047
gene1848	RDS2	YPL133C	S000006054
gene1849	COX11	YPL132W	S000006053
gene185	FSF1	YOR271C	S000005797
gene1852	MRP1	YDR347W	S000002755
gene1853	YHR097C	NA	NA
gene1854	RNA14	YMR061W	S000004665
gene1856	NOP16	YER002W	S000000804
gene1857	PHO89	YBR296C	S000000500
gene1858	SRX1	YKL086W	S000001569
gene1859	YDR336W	YDR336W	S000002744
gene186	ERG12	YMR208W	S000004821
gene1860	MDH1	YKL085W	S000001568
gene1862	TVP18	YMR071C	S000004675
gene1864	AVO2	YMR068W	S000004672
gene1866	UBX4	YMR067C	S000004671
gene1867	SOV1	YMR066W	S000004670
gene1868	IFM1	YOL023W	S000005383
gene187	YTM1	YOR272W	S000005798
gene1870	VMA5	YKL080W	S000001563
gene1872	NEM1	YHR004C	S000001046
gene1875	NAT4	YMR069W	S000004673
gene1878	VHS2	YIL135C	S000001397
gene188	YMR209C	NA	NA
gene1880	LDB19	YOR322C	S000005849
gene1881	PMT2	YAL023C	S000000021
gene1882	FUN26	YAL022C	S000000020
gene1883	ISA2	YPR067W	S000006271
gene1886	SKT5	YBL061C	S000000157
gene1887	YCR061W	NA	NA
gene1890	YIH1	YCR059C	S000000655
gene1892	PWP2	YCR057C	S000000653
gene1893	CTR86	YCR054C	S000000650
gene1894	THR4	YCR053W	S000000649
gene1896	SNF12	YNR023W	S000005306
gene1897	HAT2	YEL056W	S000000782
gene1898	MRPL50	YNR022C	S000005305
gene1899	BUD17	YNR027W	S000005310
gene190	GUA1	YMR217W	S000004830
gene1900	RAD18	YCR066W	S000000662
gene1901	MED8	YBR193C	S000000397
gene1902	SLK19	YOR195W	S000005721
gene1903	TOA1	YOR194C	S000005720
gene1905	TGL3	YMR313C	S000004930
gene1906	SNQ2	YDR011W	S000002418
gene1908	ZUO1	YGR285C	S000003517
gene1909	AIM43	NA	NA
gene191	RAM2	YKL019W	S000001502
gene1910	TAN1	YGL232W	S000003201
gene1911	ELP4	YPL101W	S000006022
gene1912	FZO1	YBR179C	S000000383
gene1913	ERV29	YGR284C	S000003516
gene1914	GLC8	YMR311C	S000004928
gene1916	VPS55	YJR044C	S000003805
gene1922	YPL108W	NA	NA
gene1923	POP7	YBR167C	S000000371
gene1928	VID30	YGL227W	S000003196
gene1931	HDA1	YNL021W	S000004966
gene1932	TRE2	YOR256C	S000005782
gene1933	SPT14	YPL175W	S000006096
gene1935	KEX2	YNL238W	S000005182
gene1936	NAR1	YNL240C	S000005184
